timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748059901889,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-38,text,false,,863,0,1,1,null,0,0,0
1748059903090,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-39,text,false,,863,0,1,1,null,0,0,0
1748059904288,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-40,text,false,,863,0,1,1,null,0,0,0
1748059905486,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-41,text,false,,863,0,1,1,null,0,0,0
1748059906689,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-42,text,false,,863,0,1,1,null,0,0,0
1748059907891,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-43,text,false,,863,0,1,1,null,0,0,0
1748059909087,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-44,text,false,,863,0,1,1,null,0,0,0
1748059910288,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-45,text,false,,863,0,1,1,null,0,0,0
1748059911488,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-46,text,false,,863,0,1,1,null,0,0,0
1748059912688,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-47,text,false,,863,0,1,1,null,0,0,0
1748059913889,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-48,text,false,,863,0,1,1,null,0,0,0
1748059915088,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-49,text,false,,863,0,1,1,null,0,0,0
1748059916289,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Stress Load Group 1-50,text,false,,863,0,1,1,null,0,0,0
